#E EFF Epot Ekin Eint Eext
3.451445394275781e+00 3.040382133792329e+00 1.283404697361984e+00 2.168040696913798e+00 1.271809332073808e-01 1.156223764154603e+00
3.348181927297029e+00 2.969177764378836e+00 1.275424240463907e+00 2.072757686833123e+00 1.205299458214716e-01 1.154894294642435e+00
3.124158282610746e+00 3.305029463101800e+00 1.322849695111951e+00 1.801308587498796e+00 1.183164703435229e-01 1.204533224768428e+00
3.436145932090023e+00 3.171065593870317e+00 1.268345580809207e+00 2.167800351280816e+00 1.320442376221653e-01 1.136301343187042e+00
3.244078792948230e+00 3.167690256430885e+00 1.291578515084187e+00 1.952500277864043e+00 1.219778825644933e-01 1.169600632519693e+00
3.517303257997124e+00 2.487551338919614e+00 1.236795206717178e+00 2.280508051279947e+00 1.150984176687455e-01 1.121696789048432e+00
3.322876655775128e+00 3.004824368607008e+00 1.277696314481010e+00 2.045180341294118e+00 1.216989359838831e-01 1.155997378497127e+00
3.586652468444041e+00 3.112091462416524e+00 1.273724073776091e+00 2.312928394667950e+00 1.360425671616408e-01 1.137681506614450e+00
3.172471046309013e+00 3.410139442795971e+00 1.279432223431836e+00 1.893038822877177e+00 1.279567821136608e-01 1.151475441318175e+00
2.952762359540087e+00 3.647252678782849e+00 1.261511458130694e+00 1.691250901409393e+00 1.287510834874275e-01 1.132760374643267e+00
3.567052593398335e+00 2.873322244347688e+00 1.264809488709585e+00 2.302243104688750e+00 1.268095606342029e-01 1.137999928075383e+00
3.371506105984576e+00 3.291737751054532e+00 1.263908286454593e+00 2.107597819529983e+00 1.343025352050458e-01 1.129605751249548e+00
3.454911304959176e+00 3.537285494491426e+00 1.276659438678392e+00 2.178251866280784e+00 1.459945102603382e-01 1.130664928418055e+00
2.723871076306700e+00 4.400883049811189e+00 1.273653809483083e+00 1.450217266823617e+00 1.446499996347939e-01 1.129003809848290e+00
3.586739921149848e+00 3.293419224117937e+00 1.277320824988165e+00 2.309419096161683e+00 1.434198183570421e-01 1.133901006631123e+00
3.622092340352181e+00 3.316459073775076e+00 1.278325939700350e+00 2.343766400651831e+00 1.455807941482795e-01 1.132745145552071e+00
1.800456763890178e+00 5.488033175798190e+00 1.312320528678024e+00 4.881362352121537e-01 1.418584072936988e-01 1.170462121384325e+00
3.311326804815491e+00 3.097484367991759e+00 1.285876960309549e+00 2.025449844505943e+00 1.222326997858919e-01 1.163644260523657e+00
3.520998016653980e+00 3.236839661530630e+00 1.258612905851957e+00 2.262385110802023e+00 1.399881724567736e-01 1.118624733395183e+00
3.081430565134265e+00 3.801786659591490e+00 1.256073438090371e+00 1.825357127043894e+00 1.403623984626519e-01 1.115711039627718e+00
2.897921462004097e+00 4.398204880349421e+00 1.292216533744866e+00 1.605704928259231e+00 1.506992308698399e-01 1.141517302875027e+00
3.273145874656905e+00 3.377728606206678e+00 1.286869779944575e+00 1.986276094712329e+00 1.319923653357236e-01 1.154877414608851e+00
3.527967004355643e+00 2.877471014986881e+00 1.234715237375022e+00 2.293251766980621e+00 1.305360989891589e-01 1.104179138385863e+00
3.342211673700663e+00 2.949237692766563e+00 1.243543319416856e+00 2.098668354283806e+00 1.206105332299749e-01 1.122932786186881e+00
2.933146152340366e+00 3.965359407815867e+00 1.271213638811193e+00 1.661932513529173e+00 1.396945695062656e-01 1.131519069304927e+00
3.437131467213073e+00 3.089350533092114e+00 1.314962837037104e+00 2.122168630175969e+00 1.258827177687264e-01 1.189080119268377e+00
3.399331615539756e+00 2.894427712546705e+00 1.315149508912262e+00 2.084182106627494e+00 1.170594531798703e-01 1.198090055732392e+00
3.456915333792177e+00 3.036342382434547e+00 1.313662136146037e+00 2.143253197646139e+00 1.256374381717292e-01 1.188024697974309e+00
3.472132740288656e+00 2.973133764733089e+00 1.260107309816606e+00 2.212025430472050e+00 1.289092822289176e-01 1.131198027587688e+00
3.342848262223901e+00 3.205132328787134e+00 1.289932226957993e+00 2.052916035265909e+00 1.257786730478244e-01 1.164153553910168e+00
3.093692407743995e+00 3.658862922254072e+00 1.263767818086965e+00 1.829924589657031e+00 1.361953263303393e-01 1.127572491756625e+00
3.490418606538991e+00 3.524480195433766e+00 1.273503441810815e+00 2.216915164728177e+00 1.465493209458265e-01 1.126954120864989e+00
3.372314398639889e+00 3.157611214175726e+00 1.311645318872602e+00 2.060669079767288e+00 1.253894296473144e-01 1.186255889225287e+00
3.073781470519936e+00 4.070235149097121e+00 1.302689348001592e+00 1.771092122518343e+00 1.448595964736976e-01 1.157829751527895e+00
3.301157747195065e+00 3.935427101074984e+00 1.314863537043552e+00 1.986294210151513e+00 1.479401465870051e-01 1.166923390456547e+00
3.526018210172475e+00 2.672359028665888e+00 1.294658310913411e+00 2.231359899259064e+00 1.176691968779245e-01 1.176989114035486e+00
2.672277964508303e+00 4.058325275158760e+00 1.313822771449961e+00 1.358455193058342e+00 1.280271556626742e-01 1.185795615787287e+00
3.494443715328932e+00 3.251521138554160e+00 1.291094483618527e+00 2.203349231710405e+00 1.365303370851275e-01 1.154564146533399e+00
3.474190709528961e+00 2.612505417533901e+00 1.248207840326029e+00 2.225982869202932e+00 1.161418027764752e-01 1.132066037549554e+00
3.255284604920031e+00 3.336599330228307e+00 1.255322030264640e+00 1.999962574655391e+00 1.321243238738804e-01 1.123197706390759e+00
3.179678262679809e+00 3.120417937731630e+00 1.286327672667996e+00 1.893350590011813e+00 1.173852743080362e-01 1.168942398359959e+00
3.438408810152403e+00 3.123716617052451e+00 1.248961485858249e+00 2.189447324294154e+00 1.315433587302546e-01 1.117418127127996e+00
3.521295420517258e+00 2.681977683446732e+00 1.262503745902708e+00 2.258791674614550e+00 1.197003599376666e-01 1.142803385965041e+00
3.263927052417696e+00 3.467698665908819e+00 1.248505318460370e+00 2.015421733957325e+00 1.344255911666507e-01 1.114079727293720e+00
3.532903825463061e+00 2.679957515289147e+00 1.228124082290714e+00 2.304779743172347e+00 1.221064241204075e-01 1.106017658170306e+00
3.522675750937839e+00 2.842761300639589e+00 1.264810005801632e+00 2.257865745136208e+00 1.262843993573983e-01 1.138525606444234e+00
3.522779084708348e+00 2.856257738814240e+00 1.257568189288938e+00 2.265210895419410e+00 1.269623575732922e-01 1.130605831715646e+00
